        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18        1600     89.827875
            2          25        1600     89.604900
            3          32        1600     89.380610
            4          40        1600     89.156021
            5          45        1600     88.931320
            6          50        1600     88.706564
            7          60        1600     88.481777
            8          60        1600     88.256972
            9          72        1600     88.032155
           10          72        1600     87.807328
           11          75        1600     87.582496
           12          81        1600     87.357659
           13          90        1600     87.132819
           14          96        1600     86.907976
           15         100        1600     86.683130
           16         108        1600     86.458283
           17         120        1600     86.233434
           18         120        1600     86.008584
           19         125        1600     85.783733
           20         128        1600     85.558882
           21         144        1600     85.334029
           22         144        1600     85.109176
           23         150        1600     84.884322
           24         160        1600     84.659468
           25         160        1600     84.434614
           26         180        1600     84.209759
           27         180        1600     83.984903
           28         192        1600     83.760048
           29         192        1600     83.535192
           30         200        1600     83.310336
           31         200        1600     83.085479
           32         216        1600     82.860623
           33         216        1600     82.635766
           34         225        1600     82.410909
           35         240        1600     82.186052
           36         240        1600     81.961195
           37         240        1600     81.736338
           38         250        1600     81.511480
           39         250        1600     81.286623
           40         256        1600     81.061765
           41         270        1600     80.836908
           42         288        1600     80.612050
           43         288        1600     80.387192
           44         288        1600     80.162334
           45         300        1600     79.937476
           46         300        1600     79.712618
           47         320        1600     79.487760
           48         320        1600     79.262902
           49         320        1600     79.038043
           50         324        1600     78.813185
           51         360        1600     78.588327
           52         360        1600     78.363469
           53         360        1600     78.138610
           54         360        1600     77.913752
           55         360        1600     77.688893
           56         360        1600     77.464035
           57         375        1600     77.239176
           58         375        1600     77.014318
           59         384        1600     76.789459
           60         400        1600     76.564600
           61         400        1600     76.339742
           62         400        1600     76.114883
           63         405        1600     75.890024
           64         432        1600     75.665166
           65         432        1600     75.440307
           66         432        1600     75.215448
           67         432        1600     74.990589
           68         450        1600     74.765730
           69         450        1600     74.540872
           70         450        1600     74.316013
           71         480        1600     74.091154
           72         480        1600     73.866295
           73         480        1600     73.641436
           74         480        1600     73.416577
           75         480        1600     73.191718
           76         486        1600     72.966859
           77         500        1600     72.742000
           78         500        1600     72.517141
           79         512        1600     72.292282
           80         512        1600     72.067423
           81         540        1600     71.842564
           82         540        1600     71.617705
           83         540        1600     71.392846
           84         540        1600     71.167987
           85         540        1600     70.943128
           86         576        1600     70.718269
           87         576        1600     70.493410
           88         576        1600     70.268551
           89         576        1600     70.043692
           90         576        1600     69.818833
           91         576        1600     69.593974
           92         600        1600     69.369115
           93         600        1600     69.144255
           94         600        1600     68.919396
           95         600        1600     68.694537
           96         640        1600     68.469678
           97         640        1600     68.244819
           98         640        1600     68.019960
           99         640        1600     67.795101
          100         640        1600     67.570242
          101         640        1600     67.345382
          102         640        1600     67.120523
          103         648        1600     66.895664
          104         675        1600     66.670805
          105         675        1600     66.445946
          106         675        1600     66.221086
