        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18         800     89.655964
            2          25         800     89.210294
            3          36         800     88.761993
            4          40         800     88.313096
            5          45         800     87.863974
            6          50         800     87.414743
            7          60         800     86.965451
            8          64         800     86.516121
            9          72         800     86.066767
           10          72         800     85.617395
           11          75         800     85.168011
           12          81         800     84.718618
           13          90         800     84.269218
           14          96         800     83.819812
           15         100         800     83.370402
           16         108         800     82.920989
           17         120         800     82.471572
           18         125         800     82.022153
           19         128         800     81.572732
           20         135         800     81.123310
           21         144         800     80.673885
           22         150         800     80.224460
           23         160         800     79.775033
           24         160         800     79.325606
           25         180         800     78.876177
           26         180         800     78.426748
           27         180         800     77.977318
           28         192         800     77.527888
           29         192         800     77.078457
           30         200         800     76.629026
           31         216         800     76.179594
           32         216         800     75.730162
           33         225         800     75.280729
           34         225         800     74.831296
           35         240         800     74.381863
           36         240         800     73.932429
           37         243         800     73.482995
           38         250         800     73.033562
           39         256         800     72.584127
           40         270         800     72.134693
           41         270         800     71.685258
           42         288         800     71.235824
           43         288         800     70.786389
           44         288         800     70.336954
           45         300         800     69.887519
           46         300         800     69.438083
           47         320         800     68.988648
           48         320         800     68.539212
           49         320         800     68.089777
           50         320         800     67.640341
           51         360         800     67.190905
           52         360         800     66.741469
           53         360         800     66.292033
           54         360         800     65.842597
           55         360         800     65.393161
           56         360         800     64.943725
           57         375         800     64.494288
           58         375         800     64.044852
           59         375         800     63.595416
           60         384         800     63.145979
           61         400         800     62.696543
           62         400         800     62.247106
           63         400         800     61.797670
           64         400         800     61.348233
           65         432         800     60.898796
           66         432         800     60.449359
           67         432         800     59.999923
           68         432         800     59.550486
           69         432         800     59.101049
           70         450         800     58.651612
           71         450         800     58.202175
           72         450         800     57.752738
           73         480         800     57.303301
           74         480         800     56.853864
           75         480         800     56.404427
           76         480         800     55.954990
           77         480         800     55.505553
           78         480         800     55.056116
           79         486         800     54.606679
           80         500         800     54.157242
           81         500         800     53.707804
           82         500         800     53.258367
           83         512         800     52.808930
           84         512         800     52.359493
           85         512         800     51.910055
           86         540         800     51.460618
           87         540         800     51.011181
           88         540         800     50.561743
           89         540         800     50.112306
           90         540         800     49.662869
           91         576         800     49.213431
           92         576         800     48.763994
           93         576         800     48.314557
           94         576         800     47.865119
           95         576         800     47.415682
           96         576         800     46.966244
           97         576         800     46.516807
           98         576         800     46.067369
           99         600         800     45.617932
          100         600         800     45.168494
          101         600         800     44.719057
          102         600         800     44.269619
          103         600         800     43.820182
          104         640         800     43.370744
          105         640         800     42.921307
          106         640         800     42.471869
          107         640         800     42.022432
          108         640         800     41.572994
          109         640         800     41.123557
          110         640         800     40.674119
          111         640         800     40.224681
          112         640         800     39.775244
          113         640         800     39.325806
          114         648         800     38.876368
          115         648         800     38.426931
