        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
            1          18        2560     89.892396
            2          25        2560     89.753005
            3          32        2560     89.612790
            4          40        2560     89.472390
            5          45        2560     89.331918
            6          50        2560     89.191413
            7          60        2560     89.050889
            8          60        2560     88.910352
            9          72        2560     88.769808
           10          72        2560     88.629259
           11          75        2560     88.488706
           12          81        2560     88.348150
           13          90        2560     88.207592
           14          90        2560     88.067032
           15          96        2560     87.926471
           16         100        2560     87.785908
           17         108        2560     87.645345
           18         120        2560     87.504781
           19         120        2560     87.364216
           20         125        2560     87.223651
           21         135        2560     87.083085
           22         144        2560     86.942519
           23         150        2560     86.801952
           24         160        2560     86.661385
           25         160        2560     86.520818
           26         180        2560     86.380251
           27         180        2560     86.239684
           28         180        2560     86.099116
           29         192        2560     85.958548
           30         192        2560     85.817980
           31         200        2560     85.677412
           32         216        2560     85.536844
           33         216        2560     85.396275
           34         216        2560     85.255707
           35         225        2560     85.115138
           36         240        2560     84.974570
           37         240        2560     84.834001
           38         243        2560     84.693432
           39         250        2560     84.552863
           40         256        2560     84.412294
           41         270        2560     84.271725
           42         270        2560     84.131156
           43         288        2560     83.990587
           44         288        2560     83.850018
           45         288        2560     83.709449
           46         300        2560     83.568880
           47         300        2560     83.428310
           48         320        2560     83.287741
           49         320        2560     83.147172
           50         320        2560     83.006602
           51         360        2560     82.866033
           52         360        2560     82.725464
           53         360        2560     82.584894
           54         360        2560     82.444325
           55         360        2560     82.303755
           56         360        2560     82.163186
           57         375        2560     82.022616
           58         375        2560     81.882047
           59         384        2560     81.741477
           60         384        2560     81.600908
           61         400        2560     81.460338
           62         400        2560     81.319768
           63         400        2560     81.179199
           64         432        2560     81.038629
           65         432        2560     80.898059
           66         432        2560     80.757490
           67         432        2560     80.616920
           68         450        2560     80.476350
           69         450        2560     80.335781
           70         450        2560     80.195211
           71         480        2560     80.054641
           72         480        2560     79.914072
           73         480        2560     79.773502
           74         480        2560     79.632932
           75         480        2560     79.492362
           76         486        2560     79.351792
           77         500        2560     79.211223
           78         500        2560     79.070653
           79         512        2560     78.930083
           80         512        2560     78.789513
           81         540        2560     78.648943
           82         540        2560     78.508374
           83         540        2560     78.367804
           84         540        2560     78.227234
           85         540        2560     78.086664
           86         576        2560     77.946094
           87         576        2560     77.805524
           88         576        2560     77.664955
           89         576        2560     77.524385
           90         576        2560     77.383815
           91         600        2560     77.243245
           92         600        2560     77.102675
           93         600        2560     76.962105
           94         600        2560     76.821535
           95         640        2560     76.680966
           96         640        2560     76.540396
           97         640        2560     76.399826
           98         640        2560     76.259256
           99         640        2560     76.118686
          100         640        2560     75.978116
          101         640        2560     75.837546
          102         648        2560     75.696976
          103         675        2560     75.556406
          104         675        2560     75.415836
          105         675        2560     75.275266
          106         675        2560     75.134697
