 latitude reduced regular latitude
 number points points 
 ------- ------- ------- ----------
 1 20 1280 89.7848769072186
 2 24 1280 89.5062027382064
 3 28 1280 89.2258828476116
 4 32 1280 88.9451911183164
 5 36 1280 88.6643583418229
 6 40 1280 88.383457312248
 7 44 1280 88.1025181389372
 8 48 1280 87.8215555071106
 9 52 1280 87.5405774264112
 10 56 1280 87.2595886348395
 11 60 1280 86.9785921135966
 12 64 1280 86.697589831922
 13 68 1280 86.4165831427364
 14 72 1280 86.135573006184
 15 76 1280 85.8545601224853
 16 80 1280 85.5735450142967
 17 84 1280 85.2925280796269
 18 88 1280 85.0115096268977
 19 92 1280 84.7304898988028
 20 96 1280 84.449469088929
 21 100 1280 84.1684473535767
 22 104 1280 83.8874248203231
 23 108 1280 83.6064015943301
 24 112 1280 83.3253777630592
 25 116 1280 83.0443533998451
 26 120 1280 82.7633285666369
 27 124 1280 82.4823033161249
 28 128 1280 82.2012776934076
 29 132 1280 81.9202517373121
 30 136 1280 81.6392254814469
 31 140 1280 81.3581989550504
 32 144 1280 81.0771721836786
 33 148 1280 80.7961451897674
 34 152 1280 80.5151179930943
 35 156 1280 80.2340906111611
 36 160 1280 79.9530630595119
 37 164 1280 79.6720353519992
 38 168 1280 79.3910075010082
 39 172 1280 79.1099795176461
 40 176 1280 78.8289514119024
 41 180 1280 78.5479231927864
 42 184 1280 78.2668948684445
 43 188 1280 77.9858664462609
 44 192 1280 77.7048379329449
 45 196 1280 77.4238093346062
 46 200 1280 77.1427806568204
 47 204 1280 76.8617519046863
 48 208 1280 76.5807230828752
 49 212 1280 76.2996941956759
 50 216 1280 76.0186652470318
 51 220 1280 75.737636240576
 52 224 1280 75.4566071796606
 53 228 1280 75.1755780673836
 54 232 1280 74.8945489066125
 55 236 1280 74.6135197000054
 56 240 1280 74.3324904500298
 57 244 1280 74.0514611589791
 58 248 1280 73.7704318289881
 59 252 1280 73.4894024620462
 60 256 1280 73.2083730600095
 61 260 1280 72.9273436246123
 62 264 1280 72.6463141574761
 63 268 1280 72.3652846601196
 64 272 1280 72.0842551339657
 65 276 1280 71.8032255803498
 66 280 1280 71.522196000526
 67 284 1280 71.2411663956732
 68 288 1280 70.9601367669007
 69 292 1280 70.6791071152534
 70 296 1280 70.3980774417163
 71 300 1280 70.1170477472186
 72 304 1280 69.8360180326378
 73 308 1280 69.5549882988032
 74 312 1280 69.2739585464991
 75 316 1280 68.9929287764678
 76 320 1280 68.7118989894126
 77 324 1280 68.4308691859999
 78 328 1280 68.1498393668621
 79 332 1280 67.8688095325994
 80 336 1280 67.5877796837818
 81 340 1280 67.3067498209512
 82 344 1280 67.025719944623
 83 348 1280 66.7446900552877
 84 352 1280 66.4636601534124
 85 356 1280 66.182630239442
 86 360 1280 65.901600313801
 87 364 1280 65.6205703768941
