latitude reduced regular latitude 
number points points 
 ------- ------- ------- ---------- 
1 20 800 89.655964 
2 24 800 89.210294 
3 28 800 88.761993 
4 32 800 88.313096 
5 36 800 87.863974 
6 40 800 87.414743 
7 44 800 86.965451 
8 48 800 86.516121 
9 52 800 86.066767 
10 56 800 85.617395 
11 60 800 85.168011 
12 64 800 84.718618 
13 68 800 84.269218 
14 72 800 83.819812 
15 76 800 83.370402 
16 80 800 82.920989 
17 84 800 82.471572 
18 88 800 82.022153 
19 92 800 81.572732 
20 96 800 81.123310 
21 100 800 80.673885 
22 104 800 80.224460 
23 108 800 79.775033 
24 112 800 79.325606 
25 116 800 78.876177 
26 120 800 78.426748 
27 124 800 77.977318 
28 128 800 77.527888 
29 132 800 77.078457 
30 136 800 76.629026 
31 140 800 76.179594 
32 144 800 75.730162 
33 148 800 75.280729 
34 152 800 74.831296 
35 156 800 74.381863 
36 160 800 73.932429 
37 164 800 73.482995 
38 168 800 73.033562 
39 172 800 72.584127 
40 176 800 72.134693 
41 180 800 71.685258 
42 184 800 71.235824 
43 188 800 70.786389 
44 192 800 70.336954 
45 196 800 69.887519 
46 200 800 69.438083 
47 204 800 68.988648 
48 208 800 68.539212 
49 212 800 68.089777 
50 216 800 67.640341 
51 220 800 67.190905 
52 224 800 66.741469 
53 228 800 66.292033 
54 232 800 65.842597 
55 236 800 65.393161 
56 240 800 64.943725 
57 244 800 64.494288 
58 248 800 64.044852 
59 252 800 63.595416 
60 256 800 63.145979 
61 260 800 62.696543 
62 264 800 62.247106 
63 268 800 61.797670 
64 272 800 61.348233 
65 276 800 60.898796 
66 280 800 60.449359 
67 284 800 59.999923 
68 288 800 59.550486 
69 292 800 59.101049 
70 296 800 58.651612 
71 300 800 58.202175 
72 304 800 57.752738 
73 308 800 57.303301 
74 312 800 56.853864 
75 316 800 56.404427 
76 320 800 55.954990 
77 324 800 55.505553 
78 328 800 55.056116 
79 332 800 54.606679 
80 336 800 54.157242 
81 340 800 53.707804 
82 344 800 53.258367 
83 348 800 52.808930 
84 352 800 52.359493 
85 356 800 51.910055 
86 360 800 51.460618 
87 364 800 51.011181 
88 368 800 50.561743 
89 372 800 50.112306 
90 376 800 49.662869 
91 380 800 49.213431 
92 384 800 48.763994 
93 388 800 48.314557 
94 392 800 47.865119 
95 396 800 47.415682 
96 400 800 46.966244 
97 404 800 46.516807 
98 408 800 46.067369 
99 412 800 45.617932 
100 416 800 45.168494 
101 420 800 44.719057 
102 424 800 44.269619 
103 428 800 43.820182 
104 432 800 43.370744 
105 436 800 42.921307 
106 440 800 42.471869 
107 444 800 42.022432 
108 448 800 41.572994 
109 452 800 41.123557 
110 456 800 40.674119 
111 460 800 40.224681 
112 464 800 39.775244 
113 468 800 39.325806 
114 472 800 38.876368 
115 476 800 38.426931 
