 latitude reduced regular latitude
 number points points 
 ------- ------- ------- ----------
 1 20 640 89.5700895506067
 2 24 640 89.0131761310221
 3 28 640 88.4529738367131
 4 32 640 87.8920284453444
 5 36 640 87.3308011797376
 6 40 640 86.7694375145276
 7 44 640 86.2079976214231
 8 48 640 85.6465108479529
 9 52 640 85.0849932009119
 10 56 640 84.5234541489144
 11 60 640 83.9618996497181
 12 64 640 83.400333638737
 13 68 640 82.8387588197095
 14 72 640 82.2771771114338
 15 76 640 81.7155899132665
 16 80 640 81.153998269713
 17 84 640 80.5924029761778
 18 88 640 80.0308046490315
 19 92 640 79.4692037732917
 20 96 640 78.907600735838
 21 100 640 78.3459958490356
 22 104 640 77.7843893678487
 23 108 640 77.2227815024452
 24 112 640 76.6611724276205
 25 116 640 76.0995622899381
 26 120 640 75.5379512132081
 27 124 640 74.9763393027375
 28 128 640 74.414726648662
 29 132 640 73.8531133285838
 30 136 640 73.2914994096763
 31 140 640 72.7298849503795
 32 144 640 72.1682700017748
 33 148 640 71.6066546087076
 34 152 640 71.0450388107114
 35 156 640 70.4834226427713
 36 160 640 69.9218061359605
 37 164 640 69.3601893179717
 38 168 640 68.7985722135654
 39 172 640 68.2369548449477
 40 176 640 67.6753372320917
 41 180 640 67.1137193930114
 42 184 640 66.5521013439962
 43 188 640 65.9904830998128
 44 192 640 65.4288646738789
 45 196 640 64.8672460784143
 46 200 640 64.3056273245713
 47 204 640 63.7440084225492
 48 208 640 63.1823893816941
 49 212 640 62.6207702105862
 50 216 640 62.0591509171168
 51 220 640 61.4975315085565
 52 224 640 60.9359119916146
 53 228 640 60.374292372493
 54 232 640 59.8126726569328
 55 236 640 59.2510528502566
 56 240 640 58.6894329574061
 57 244 640 58.1278129829758
 58 248 640 57.5661929312427
 59 252 640 57.0045728061936
 60 256 640 56.4429526115493
 61 260 640 55.8813323507866
 62 264 640 55.3197120271579
 63 268 640 54.7580916437093
 64 272 640 54.1964712032966
 65 276 640 53.6348507086
 66 280 640 53.0732301621377
 67 284 640 52.511609566278
 68 288 640 51.9499889232499
 69 292 640 51.388368235154
 70 296 640 50.826747503971
 71 300 640 50.2651267315709
 72 304 640 49.7035059197201
 73 308 640 49.1418850700887
 74 312 640 48.5802641842574
 75 316 640 48.0186432637231
 76 320 640 47.4570223099043
 77 324 640 46.895401324147
 78 328 640 46.3337803077286
 79 332 640 45.7721592618623
 80 336 640 45.2105381877018
 81 340 640 44.6489170863444
 82 344 640 44.0872959588346
 83 348 640 43.5256748061674
 84 352 640 42.9640536292912
 85 356 640 42.4024324291106
 86 360 640 41.840811206489
 87 364 640 41.2791899622509
 88 368 640 40.7175686971842
 89 372 640 40.1559474120422
 90 376 640 39.5943261075458
 91 380 640 39.0327047843849
 92 384 640 38.4710834432206
 93 388 640 37.909462084686
